EpisodeIndex,DQNEpisodeReward,DQNAverageReward,DQNEpisodeQ0,DDQNEpisodeReward,DDQNAverageReward,DDQNEpisodeQ0
1,-18.3181818181818,-18.3181819915771,0.113417468965054,-10.7727272727273,-10.7727270126343,0.0289987847208977
2,-21.1047120418848,-19.711446762085,0.330521792173386,-19.6937172774869,-15.2332229614258,0.168380796909332
3,-20.75,-20.0576305389404,0.425206780433655,-19.1238738738739,-16.5301074981689,0.0912910476326942
4,-17.6558441558442,-19.4571838378906,0.296650439500809,-22,-17.8975791931152,0.0152629716321826
5,-15.1912442396313,-18.6039962768555,0.148830711841583,-17.8940092165899,-17.8968658447266,0.0903432294726372
6,-19,-18.6699962615967,0.0139687228947878,-20.75,-18.3723888397217,-0.593675315380096
7,-15.6390243902439,-18.2370014190674,-0.00498502422124147,-13.8073170731707,-17.720235824585,0.143513262271881
8,-19.0413385826772,-18.3375434875488,-0.189624786376953,-22.2362204724409,-18.2847328186035,-0.0906207486987114
9,-17.7207792207792,-18.2690124511719,0.530335247516632,-20.3181818181818,-18.5106716156006,-0.429334819316864
10,-21.2643171806167,-18.5685424804688,0.425480484962463,-16.7929515418502,-18.3388996124268,0.0478592403233051
11,-20.25,-18.7214031219482,0.371070951223373,-15.25,-18.0580902099609,0.271020442247391
12,-20.2987804878049,-18.8528518676758,0.258600354194641,-18.734756097561,-18.1144790649414,0.102337338030338
13,-21.2428571428571,-19.0366992950439,0.127504542469978,-21.0603174603175,-18.3410835266113,-0.404568582773209
14,-15.0328947368421,-18.7507133483887,0.215313732624054,-14.0460526315789,-18.0342960357666,0.251626998186111
15,-20.25,-18.8506660461426,0.235944628715515,-21.5,-18.2653427124023,0.195616662502289
16,-15.4296116504854,-18.636848449707,-0.106784909963608,-18.75,-18.29563331604,-0.179461777210236
17,-19,-18.6582107543945,0.221048682928085,-22.75,-18.5576553344727,0.23880372941494
18,-16.929347826087,-18.562162399292,0.202960401773453,-20.25,-18.6516742706299,0.00996897835284472
19,-19.5,-18.6115226745605,0.265906691551208,-22.8714285714286,-18.8737659454346,0.4469153881073
20,-21.4525495750708,-18.7535743713379,-0.0535683706402779,-18.735835694051,-18.866870880127,-0.462621718645096
21,-21.4486301369863,-18.881908416748,0.77820360660553,-20.472602739726,-18.9433326721191,-0.433303683996201
22,-22.1906976744186,-19.0323104858398,1.6472499370575,-20.2162790697674,-19.0011940002441,-0.219811856746674
23,-16.6086956521739,-18.9269351959229,0.470538049936295,-15.5760869565217,-18.8522777557373,0.187035784125328
24,-21.75,-19.044563293457,0.789750933647156,-19.5263157894737,-18.8803615570068,0.0125963455066085
25,-19,-19.0427799224854,0.259203374385834,-20.25,-18.9351482391357,0.200460523366928
26,-16.6904761904762,-18.9523048400879,5.3467230796814,-19.4285714285714,-18.9541244506836,0.357938826084137
27,-20.3333333333333,-19.0034561157227,0.0003758545499295,-13.7638888888889,-18.7618942260742,0.179087221622467
28,-18.5721476510067,-18.9880523681641,0.0481640659272671,-14.8003355704698,-18.6204090118408,0.249968364834785
29,-20.1838709677419,-19.0292854309082,0.068776048719883,-22.75,-18.762809753418,-0.0987081751227379
30,-15.3656069364162,-18.9071636199951,-0.152200818061829,-21.5765895953757,-18.8565998077393,0.758774101734161
31,-20.25,-18.9504814147949,0.108781255781651,-17.75,-18.8209037780762,0.154798984527588
32,-17.1363636363636,-18.8937911987305,0.644545376300812,-21.1136363636364,-18.8925514221191,-0.0671316087245941
33,-22.75,-19.0106468200684,-0.457771986722946,-16.2682926829268,-18.8130283355713,0.302606403827667
34,-15.7083333333333,-18.913516998291,0.237710878252983,-15.9791666666667,-18.7296810150146,0.276472151279449
35,-16.0317679558011,-18.8311824798584,0.117693915963173,-19.2182320441989,-18.7436408996582,0.207584887742996
36,-15.2887755102041,-18.732780456543,-0.0208501052111387,-20.0428571428571,-18.7797298431396,-0.0558529831469059
