EpisodeIndex,DQNEpisodeReward,DQNAverageReward,DQNEpisodeQ0,DDQNEpisodeReward,DDQNAverageReward,DDQNEpisodeQ0
1,-17.7321517706255,-17.7321510314941,0.1040910333395,-21.4943194916662,-21.4943199157715,0.0789455622434616
2,-17.867671241397,-17.7999114990234,0.81281453371048,-22.7471597458331,-22.1207389831543,0.363433688879013
3,-21.1319599411044,-18.9105930328369,0.0331156626343727,-16.1414261604,-20.1276340484619,0.00681771198287606
4,-24,-20.1829452514648,0.210224151611328,-15.3667874712813,-18.9374237060547,0.0411246418952942
5,-21.4943194916662,-20.4452209472656,0.148631125688553,-18.9914792374994,-18.9482364654541,0.0314805433154106
6,-18.8717913233278,-20.1829814910889,1.73251235485077,-19.1271447665096,-18.9780540466309,0.31918078660965
7,-10.4537291612715,-18.7930889129639,0.0904824212193489,-15.3561523627965,-18.4606380462646,-0.000960886420216411
8,-16.4566392063417,-18.5010318756104,0.0872999653220177,-17.7321517706255,-18.3695774078369,-0.00448652915656567
9,-15.2264712622917,-18.1371917724609,0.0238905269652605,-17.7349920247924,-18.2990684509277,0.00342806684784591
10,-18.3870180357016,-18.1621742248535,0.397213935852051,-18.7408557961029,-18.3432464599609,0.00663391035050154
11,-17.0189734760518,-18.0582466125488,0.243897348642349,-20.9846295691856,-18.5833721160889,-0.00963408220559359
12,-19.2176509843299,-18.1548633575439,0.0616493970155716,-19.9336757692913,-18.6958980560303,0.0137257250025868
13,-24,-18.6044902801514,0.0570108965039253,-20.7793662206382,-18.8561668395996,0.0174384620040655
14,-21.4943194916662,-18.8109073638916,0.112168878316879,-16.4829584749987,-18.6866493225098,0.0348916798830032
15,-18.3140358087293,-18.7777824401855,0.152815535664558,-16.4785048120854,-18.5394401550293,-0.0071270908229053
16,-19.5367453224375,-18.8252182006836,0.0320888012647629,-16.2973691619298,-18.3993110656738,0.015449465252459
17,-18.8729997430741,-18.8280277252197,0.0913199186325073,-18.1620255176153,-18.3853549957275,-0.0538066513836384
18,-19.9874070492699,-18.8924369812012,-0.00940031372010708,-19.3405575785132,-18.4384212493896,-0.0279696322977543
19,-17.7321517706255,-18.831371307373,-0.0120355989784002,-19.0625782316889,-18.4712696075439,-0.0257405247539282
20,-18.2925311989014,-18.8044300079346,0.487209767103195,-16.1027189540407,-18.3528423309326,-0.182169854640961
21,-22.7471597458331,-18.9921779632568,0.102448917925358,-21.2670467643935,-18.4916133880615,-0.0428149290382862
22,-19.5464977758446,-19.0173740386963,0.089705690741539,-14.9344024219962,-18.3299236297607,0.0410455390810966
23,-18.8393053244559,-19.0096321105957,0.0245875511318445,-17.7321517706255,-18.3039321899414,0.0193389840424061
24,-18.4547722445726,-18.9865131378174,1.08883213996887,-17.9281994228929,-18.2882766723633,-0.140790328383446
25,-15.871519404868,-18.8619136810303,0.0579737573862076,-16.2814976538968,-18.2080059051514,0.0432044938206673
26,-17.7321517706255,-18.8184623718262,0.102888680994511,-16.4857987291656,-18.1417655944824,0.0548725612461567
27,-17.7386389833325,-18.7784671783447,0.174485266208649,-16.4709817704594,-18.0798854827881,0.0964421927928925
28,-15.4829584749987,-18.6607704162598,0.39468777179718,-16.3272084207956,-18.0172901153564,0.337923258543015
29,-16.4673348119192,-18.5851364135742,0.291098743677139,-18.9849920247924,-18.0506591796875,0.221052706241608
30,-22.7471597458331,-18.7238693237305,0.300237894058228,-16.048868977808,-17.9839344024658,0.257555961608887
31,-14.8198447562676,-18.5979328155518,0.313063085079193,-19.9613587555717,-18.047721862793,0.227815419435501
32,-16.0727833265476,-18.519021987915,0.259068310260773,-15.2068669784238,-17.9589443206787,0.211268484592438
33,-18.1514961261896,-18.507884979248,0.154561847448349,-19.8171935232137,-18.0152549743652,0.0903400331735611
34,-15.7209817704594,-18.4259185791016,0.165243521332741,-20.0056894218164,-18.0737972259521,0.0569969862699509
35,-14.9195781933086,-18.3257350921631,0.196821123361588,-20.2109628055745,-18.134859085083,0.0732164084911346
36,-20.2414792374994,-18.3789520263672,0.125337526202202,-13.9764712622917,-18.0193481445312,0.0190181136131287
37,-17.0942892952034,-18.3442306518555,0.194137796759605,-18.9914792374994,-18.0456237792969,0.0769502595067024
38,-12.0338468169545,-18.1781673431396,0.163239061832428,-20.4878322789592,-18.1098918914795,0.108185313642025
39,-18.0386389833325,-18.1745910644531,0.174831971526146,-12.6116543035855,-17.9689121246338,0.0944846421480179
40,-17.1387113505248,-18.1486930847168,0.144222259521484,-16.9738220246262,-17.944034576416,0.090620145201683
41,-18.8664792374994,-18.1662006378174,0.0906224027276039,-12.0637340495847,-17.8006114959717,0.0498798452317715
42,-17.871495092277,-18.1591835021973,0.0644947737455368,-18.5294705523997,-17.8179664611816,0.0689603388309479
43,-17.1866972251709,-18.1365661621094,0.105959631502628,-20.2414792374994,-17.8743267059326,-0.256990760564804
44,-16.9886389833325,-18.1104774475098,0.056746706366539,-20.5568194916662,-17.9352912902832,0.00140174408443272
45,-15.6385859062331,-18.0555477142334,0.0959009528160095,-11.8217452148618,-17.7994365692139,0.0189447402954102
46,-15.3902618457853,-17.9976062774658,0.113796271383762,-9.9504183485293,-17.6288051605225,-0.0797659233212471
47,-15.2329584749987,-17.9387836456299,0.18114010989666,-16.4673348119192,-17.6040916442871,0.00464501138776541
48,-15.8131971529975,-17.8945007324219,0.204689398407936,-17.1439663837667,-17.5945072174072,-0.057525273412466
49,-19.7067671902019,-17.9314861297607,0.200208902359009,-13.9518933862413,-17.5201683044434,0.0400737188756466
50,-16.4829584749987,-17.902515411377,0.228479728102684,-17.7357987291656,-17.5244808197021,0.0881113111972809
51,-17.1920965220067,-17.8885860443115,0.257774859666824,-16.123035748526,-17.4970016479492,0.18708074092865
52,-11.7199840495847,-17.7699584960938,0.258800804615021,-17.1638562831224,-17.490592956543,0.166770458221436
53,-19.4878322789592,-17.8023719787598,0.257542043924332,-16.3173473013517,-17.4684581756592,0.10210195928812
54,-11.2334325242619,-17.6807231903076,0.179219335317612,-16.5503272950208,-17.4514541625977,0.0709236934781075
55,-18.2756212318532,-17.6915397644043,0.157148659229279,-19.0256212318532,-17.4800758361816,0.0382267758250237
56,-16.8856769562992,-17.6771507263184,1.59376454353333,-10.6412383777299,-17.3579540252686,-0.519459128379822
57,-15.497109418395,-17.6389026641846,0.176489144563675,-9.16930796878708,-17.2142925262451,0.0205798652023077
58,-18.2059061522162,-17.6486797332764,0.124247267842293,-16.1725754872301,-17.1963329315186,0.0145315770059824
59,-17.105961294435,-17.6394805908203,0.0996722355484962,-18.5867173327375,-17.219898223877,-0.279299974441528
60,-16.4709817704594,-17.6200046539307,0.174213796854019,-17.7357987291656,-17.2284965515137,0.00487758219242096
61,-24,-17.7245960235596,0.152523338794708,-11.4813325297836,-17.1342811584473,0.12037967145443
62,-14.7841395773609,-17.6771697998047,0.000306734000332654,-16.9857987291656,-17.1318855285645,0.202452912926674
63,-17.3690944457847,-17.6722793579102,0.0166678186506033,-18.7259001298293,-17.1571884155273,0.176501303911209
64,-15.7357987291656,-17.6420211791992,0.0434134602546692,-21.4943194916662,-17.2249546051025,0.198750212788582
65,-12.3056608962655,-17.5599231719971,0.045616190880537,-15.3686816120485,-17.1963977813721,0.178471028804779
66,-16.7918225525185,-17.5482845306396,0.0618036575615406,-17.7386389833325,-17.2046146392822,0.16228012740612
67,-18.9914792374994,-17.56982421875,-0.220764979720116,-14.9785048120854,-17.1713886260986,-0.284870237112045
68,-21.4971597458331,-17.6275787353516,0.139393255114555,-15.2803973846606,-17.1435794830322,0.169391691684723
69,-17.8199956203573,-17.6303691864014,0.0618083737790585,-13.1507734745699,-17.0857124328613,0.0681298226118088
70,-17.8436389833325,-17.633415222168,0.0849270895123482,-18.9886389833325,-17.1128978729248,0.0810263156890869
71,-20.7443194916662,-17.6772327423096,0.103943161666393,-12.3754280001355,-17.0461730957031,0.0612361468374729
72,-14.087201855899,-17.6273708343506,0.0831219032406807,-19.1935340320199,-17.0759963989258,-0.0214149747043848
73,-15.2264712622917,-17.594482421875,0.077870100736618,-12.6640785638939,-17.0155601501465,-0.0276735350489616
74,-18.4650086492641,-17.6062431335449,0.154611930251122,-14.1322526929292,-16.9765968322754,0.106211632490158
75,-15.1439382640493,-17.573413848877,0.238526031374931,-14.4811224250824,-16.943323135376,0.187106385827065
76,-12.7199840495847,-17.5095539093018,0.143825218081474,-11.4606565827109,-16.8711833953857,0.146726548671722
77,-14.735125469947,-17.4735221862793,-0.18974369764328,-17.8635722607552,-16.8840713500977,-0.350094676017761
78,-15.8060310931782,-17.4521446228027,0.8961021900177,-13.3706511564716,-16.8390274047852,0.114001244306564
79,-12.8476978284427,-17.3938598632812,0.244630366563797,-14.4402156080994,-16.8086624145508,0.203718319535255
80,-13.8830828750141,-17.3499755859375,0.0315803699195385,-17.9666791674834,-16.8231391906738,-0.0616342015564442
81,-11.464303541251,-17.2773113250732,0.191762611269951,-11.4606565827109,-16.7569351196289,0.267757415771484
82,-13.9644945577524,-17.2369117736816,0.236458465456963,-16.4821517706255,-16.7535839080811,0.314496964216232
83,-12.5997983210262,-17.1810436248779,0.937302827835083,-16.3702957880662,-16.748966217041,-0.0784855335950851
